MAE,RMSE,sMAPE,MASE,model,horizon,series_id,seasonality_strength
29.608571428571427,30.252316086068987,3.1945838480370385,0.5160207555026347,Naive,7,T1321,0.9855413172672572
25.187142857142867,26.533225801409294,2.7219060656924468,0.43896371418831204,Naive,14,T1321,0.9855413172672572
33.21714285714287,34.16414243869484,3.5918467761774817,0.5789112519032744,SeasonalNaive,7,T1321,0.9855413172672572
28.795714285714308,30.172339035234643,3.119209104547738,0.5018542105889519,SeasonalNaive,14,T1321,0.9855413172672572
29.54847646469128,30.19350241219171,3.187992045843148,0.514973415250568,AutoETS,7,T1321,0.9855413172672572
25.12704789326272,26.47618631813818,2.715313861896007,0.4379163739362453,AutoETS,14,T1321,0.9855413172672572
30.867957098097854,31.593792161352308,3.332851483314631,0.5379694383773211,AutoTheta,7,T1321,0.9855413172672572
26.655741477773176,28.011771240247036,2.8831714435877,0.46455857855304455,AutoTheta,14,T1321,0.9855413172672572
80.57142857142806,110.0010519430214,0.8579129029546445,0.3144866397475289,Naive,7,T2316,0.9445708282737718
149.82142857142819,186.9451084447744,1.5880761090409423,0.5847834458071315,Naive,14,T2316,0.9445708282737718
131.35714285714286,159.18611299805184,1.3950455559303134,0.5127135908649906,SeasonalNaive,7,T2316,0.9445708282737718
121.90714285714277,147.4614743876223,1.2889610086909022,0.47582832274566544,SeasonalNaive,14,T2316,0.9445708282737718
80.56838540070203,109.99824897973016,0.8578802457884522,0.31447476163449584,AutoETS,7,T2316,0.9445708282737718
149.81777676655696,186.94178750365091,1.5880369230630138,0.5847691920714919,AutoETS,14,T2316,0.9445708282737718
87.70227665523713,115.50054974172204,0.9344722779967162,0.3423197872067322,AutoTheta,7,T2316,0.9445708282737718
154.942147126304,191.0425223654001,1.643074734917032,0.6047706497076814,AutoTheta,14,T2316,0.9445708282737718
251.12857142857087,256.11484867981665,1.6736703309525907,1.221335544610328,Naive,7,T2394,0.9861119375223296
470.55714285714254,522.9496137979531,3.1031195408281436,2.2885017068046904,Naive,14,T2394,0.9861119375223296
259.57142857142804,284.93950736453274,1.7292647762278908,1.2623964301478845,SeasonalNaive,7,T2394,0.9861119375223296
448.69999999999993,519.9947746990211,2.9588154186411644,2.182201952367363,SeasonalNaive,14,T2394,0.9861119375223296
251.13620092565492,256.1223296432809,1.67372162107188,1.2213726498107567,AutoETS,7,T2394,0.9861119375223296
470.5647723542266,522.9564789333202,3.1031708195017096,2.288538812005119,AutoETS,14,T2394,0.9861119375223296
